Date,Open,High,Low,Close,Adj Close,Volume
2000-01-25,8.539018,8.573443,8.263560,30.218737,8.323812,417700
2000-01-26,8.297997,8.401289,8.229127,30.500010,8.401289,861900
2000-01-27,8.366855,8.401289,8.297997,30.249990,8.332421,107500
2000-01-28,8.332421,8.384075,8.125836,29.874992,8.229127,229000
2000-01-31,8.177484,8.229127,7.643793,28.624992,7.884813,718300
2000-02-01,7.953683,8.332421,7.910639,29.250011,8.056975,251100
2000-02-02,8.117226,8.332421,8.056975,29.749985,8.194694,322800
2000-02-03,8.143051,8.332421,8.143051,30.062508,8.280779,164200
2000-02-04,8.229127,8.470148,8.211913,30.656239,8.444323,477900
2000-02-07,8.401289,8.470148,8.194694,30.562515,8.418505,476500
2000-02-08,8.642310,9.089919,8.539018,32.562508,8.969408,2912100
2000-02-09,9.055483,9.158777,8.539018,31.250004,8.607877,957100
2000-02-10,8.590657,8.642310,8.263560,30.312492,8.349637,654300
2000-02-11,8.332421,8.504582,8.177484,29.812489,8.211913,1059000
2000-02-14,8.246346,8.263560,7.850379,28.750008,7.919246,439600
2000-02-15,8.039759,8.349637,8.013931,29.874992,8.229127,257800
2000-02-16,8.263560,8.263560,7.936463,28.999992,7.988106,301000
2000-02-17,8.022540,8.091399,7.953683,29.250011,8.056975,575200
2000-02-18,8.074191,8.229127,8.022540,29.625006,8.160269,202600
2000-02-22,8.125836,8.297997,7.919246,29.937498,8.246346,422500
2000-02-23,8.211913,8.659519,8.160269,30.062508,8.280779,1323000
2000-02-24,8.194694,8.401289,7.884813,28.937485,7.970888,1094800
2000-02-25,8.005322,8.091399,7.850379,29.312515,8.074191,727800
2000-02-28,8.074191,8.074191,7.815955,28.406261,7.824563,355200
2000-02-29,7.798737,8.211913,7.798737,29.749985,8.194694,367800
2000-03-01,8.177484,8.332421,8.160269,29.874992,8.229127,145000
2000-03-02,8.229127,8.297997,7.919246,28.937485,7.970888,604300
2000-03-03,7.919246,8.711169,7.919246,31.312506,8.625093,775800
2000-03-06,8.642310,8.711169,8.315203,30.875008,8.504582,360400
2000-03-07,8.556228,8.607877,8.177484,29.687513,8.177484,438000
2000-03-08,8.177484,8.470148,8.177484,30.624985,8.435715,973900
2000-03-09,8.435715,8.676735,8.366855,31.499989,8.676735,498300
2000-03-10,8.573443,8.728387,8.573443,31.437485,8.659519,658300
2000-03-13,8.582050,8.582050,8.384075,30.562515,8.418505,199800
2000-03-14,8.401289,8.504582,8.332421,30.249990,8.332421,337500
2000-03-15,8.435715,8.539018,8.160269,31.000015,8.539018,588700
2000-03-16,8.521802,9.210431,8.435715,33.437508,9.210431,1038700
2000-03-17,9.072701,9.365365,9.021051,33.249992,9.158777,428800
2000-03-20,9.193213,9.193213,9.055483,32.937504,9.072701,330900
2000-03-21,9.055483,9.503091,9.021051,34.218758,9.425625,341700
2000-03-22,9.399800,9.571962,8.646615,32.437492,8.934975,1678600
2000-03-23,8.883330,9.227648,8.883330,33.124985,9.124344,438300
2000-03-24,9.107136,9.227648,8.814462,33.000008,9.089919,906700
2000-03-27,9.089919,9.399800,9.089919,33.875008,9.330940,835200
2000-03-28,9.330940,10.157298,9.330940,33.999985,9.365365,1215600
2000-03-29,9.451451,10.053994,9.451451,36.375008,10.019568,340800
2000-03-30,9.812981,10.880354,9.778546,39.000015,10.742632,1148100
2000-03-31,10.742632,12.016598,10.742632,41.624992,11.465689,2574600
2000-04-03,11.396831,12.446991,11.086948,44.999992,12.395339,2539300
2000-04-04,12.171535,12.171535,10.781364,41.187485,11.345178,1625500
2000-04-05,11.086948,11.086948,10.243375,38.000000,10.467179,1132800
2000-04-06,10.484394,10.673764,10.467179,38.375000,10.570473,507100
2000-04-07,10.604905,10.604905,10.191724,37.937500,10.449961,233100
2000-04-10,10.501612,10.794274,10.432743,37.874992,10.432743,201100
2000-04-11,10.467179,11.293534,10.191724,39.999992,11.018079,1088100
2000-04-12,11.052514,11.086948,10.811493,39.250000,10.811493,347500
2000-04-13,10.828710,10.828710,10.144386,37.374985,10.295015,250600
2000-04-14,10.157298,10.312233,9.847409,36.687500,10.105646,398800
2000-04-17,10.088429,10.777059,10.053994,38.312492,10.553255,556200
2000-04-18,10.622123,10.639331,10.363883,38.062508,10.484394,290200
2000-04-19,10.484394,10.673764,10.415524,38.500008,10.604905,510300
2000-04-20,10.622123,11.052514,10.622123,39.750008,10.949218,344800
2000-04-24,10.863144,11.018079,10.639331,39.999992,11.018079,201700
2000-04-25,11.018079,11.379611,10.966438,41.125019,11.327968,1250700
2000-04-26,11.431264,12.154316,11.431264,43.875000,12.085458,1914300
2000-04-27,11.878872,11.947728,11.000862,41.750000,11.500124,1250100
2000-04-28,11.482903,11.637851,11.121372,40.937500,11.276319,1674000
2000-05-01,11.259102,11.431264,11.190240,40.687515,11.207458,567900
2000-05-02,11.224668,11.293534,10.949218,39.999992,11.018079,375300
2000-05-03,10.914784,11.190240,10.742632,40.562508,11.173024,392100
2000-05-04,11.155807,11.155807,10.897570,40.187508,11.069732,147300
2000-05-05,11.104156,11.448471,10.970742,41.562481,11.448471,458500
2000-05-08,11.431264,11.896091,11.431264,42.874985,11.810002,562200
2000-05-09,11.964945,12.739652,11.775577,46.000000,12.670794,1987800
2000-05-10,12.636358,13.324988,12.515852,47.312508,13.032326,2386800
2000-05-11,13.083966,13.600444,12.877379,47.624992,13.118402,1521400
2000-05-12,12.946250,13.182965,12.601934,46.000000,12.670794,454500
2000-05-15,12.842945,13.187268,12.515852,47.875019,13.187268,770800
2000-05-16,13.256131,13.479932,12.877379,47.750008,13.152838,819600
2000-05-17,13.049541,13.083966,12.567500,45.625008,12.567500,1201500
2000-05-18,12.670794,12.722445,12.205970,44.312500,12.205970,248400
2000-05-19,12.188750,12.223185,11.465689,42.312508,11.655068,851400
2000-05-22,11.637851,11.775577,10.914784,40.562508,11.173024,1750900
2000-05-23,11.190240,11.431264,11.000862,41.000008,11.293534,1098900
2000-05-24,11.362393,12.223185,11.327968,42.625000,11.741142,1489900
2000-05-25,11.637851,11.637851,11.224668,40.749985,11.224668,844300
2000-05-26,11.336570,11.345178,11.018079,40.125008,11.052514,652000
2000-05-30,11.173024,11.827219,11.138588,42.499992,11.706710,990100
2000-05-31,11.706710,11.706710,10.880354,39.812515,10.966438,947700
2000-06-01,11.121372,11.224668,10.983647,40.562508,11.173024,336300
2000-06-02,11.190240,11.706710,11.190240,42.375015,11.672284,931500
2000-06-05,11.689492,12.171535,11.689492,43.500008,11.982164,371200
2000-06-06,11.999379,12.464205,11.913293,44.249992,12.188750,584700
2000-06-07,12.257619,12.292046,11.861652,44.562485,12.274827,817600
2000-06-08,12.292046,12.533065,11.999379,43.875000,12.085458,451500
2000-06-09,12.111281,12.860164,11.982164,29.812500,12.317869,288100
2000-06-12,12.421165,12.498633,11.568979,28.125000,11.620633,386700
